date,spy,vix,sp20vol
2009-06-30,91.95,26.35,0.191625641
2009-07-01,92.33,26.22,0.186742411
2009-07-02,89.81,27.95,0.207066569
2009-07-06,89.8,29,0.207819515
2009-07-07,88.06,30.85,0.216818456
2009-07-08,88,31.3,0.215502911
2009-07-09,88.17,29.78,0.216889174
2009-07-10,87.96,29.02,0.214204961
2009-07-13,90.1,26.31,0.236493987
2009-07-14,90.61,25.02,0.223724564
2009-07-15,93.26,25.89,0.243622941
2009-07-16,94.15,25.42,0.244790059
2009-07-17,94.13,24.34,0.243597316
2009-07-20,95.13,24.4,0.246195477
2009-07-21,95.57,23.87,0.214558089
2009-07-22,95.55,23.47,0.214990917
2009-07-23,97.66,23.43,0.226284056
2009-07-24,98.06,23.09,0.216829161
2009-07-27,98.35,24.28,0.216129713
2009-07-28,97.89,25.01,0.216059694
2009-07-29,97.65,25.61,0.213736742
2009-07-30,98.67,25.4,0.216016325
2009-07-31,98.81,25.92,0.179179303
2009-08-03,100.44,25.56,0.182668559
2009-08-04,100.7,24.89,0.157060053
2009-08-05,100.41,24.9,0.157997488
2009-08-06,99.89,25.67,0.163618044
2009-08-07,101.2,24.76,0.160921106
2009-08-10,100.99,24.99,0.150150562
2009-08-11,99.73,25.99,0.163591521
2009-08-12,100.8,25.45,0.137587157
2009-08-13,101.57,24.71,0.1369082
2009-08-14,100.79,24.27,0.143070713
2009-08-17,98.31,27.89,0.169830377
2009-08-18,99.09,26.18,0.172450531
2009-08-19,99.96,26.26,0.173083957
2009-08-20,100.99,25.09,0.158062467
